id;tipo;id_doc;id_prod;cantidad;us_crea;date_crea
341;SAL;219;5195;2;1;2016-03-11
342;SAL;219;5191;1;1;2016-03-11
343;SAL;219;5192;2;1;2016-03-11
344;SAL;219;5196;2;1;2016-03-11
345;ENT;30;3026;8;1;2016-03-14
346;ENT;31;5202;8;1;2016-03-17
347;ENT;32;4735;9;1;2016-03-17
348;ENT;32;4743;2;1;2016-03-17
349;ENT;32;4742;2;1;2016-03-17
350;ENT;32;4745;5;1;2016-03-17
351;ENT;32;4736;10;1;2016-03-17
352;ENT;32;4744;7;1;2016-03-17
353;ENT;32;4737;6;1;2016-03-17
354;SAL;224;3037;1;1;2016-03-18
355;SAL;225;4477;1;1;2016-03-29
356;SAL;226;4484;2;1;2016-03-30
357;SAL;227;3054;2;1;2016-03-31
358;ENT;39;5203;10;1;2016-04-05
359;SAL;228;1331;2;1;2016-04-11
360;SAL;229;2463;1;1;2016-04-13
361;SAL;230;4180;4;1;2016-04-15
362;SAL;231;1371;29;1;2016-04-20
363;SAL;232;1374;48;1;2016-04-20
364;SAL;233;4735;1;1;2016-04-21
365;SAL;234;3049;1;1;2016-04-21
366;SAL;235;1312;57;1;2016-04-23
367;DEV;57;3049;1;1;2016-04-25
368;SAL;236;1331;2;1;2016-04-25
369;SAL;237;4329;1;1;2016-04-25
370;SAL;238;4329;1;1;2016-04-25
371;SAL;239;5115;10;1;2016-04-26
372;SAL;234;2602;2;1;2016-04-26
373;SAL;240;5190;1;1;2016-04-28
374;SAL;241;5190;1;1;2016-04-28
375;SAL;242;5190;1;1;2016-04-28
376;SAL;243;4521;1;1;2016-04-28
377;SAL;244;1405;7;1;2016-05-01
378;SAL;245;3026;1;1;2016-05-03
379;SAL;246;4735;1;1;2016-05-04
380;SAL;247;4767;1;1;2016-05-05
381;SAL;249;1971;6;1;2016-05-16
382;SAL;249;2030;5;1;2016-05-16
383;DEV;58;1971;6;1;2016-05-17
384;SAL;251;1384;10;1;2016-05-19
385;SAL;252;4386;2;1;2016-05-23
386;SAL;254;4394;2;1;2016-05-30
387;DEV;59;5115;9;1;2016-06-06
388;SAL;255;5015;1;1;2016-06-14
389;DEV;60;5190;1;1;2016-06-16
390;DEV;61;5190;1;1;2016-06-16
391;SAL;256;4484;1;1;2016-06-22
392;SAL;256;4498;4;1;2016-06-22
393;SAL;258;4484;2;1;2016-06-22
394;SAL;259;5116;5;1;2016-06-28
395;SAL;260;1364;1;1;2016-06-28
396;SAL;261;1318;4;1;2016-06-29
397;SAL;262;3048;1;1;2016-07-06
398;SAL;262;3050;1;1;2016-07-06
399;SAL;262;3049;1;1;2016-07-06
400;SAL;265;3040;1;1;2016-07-06
401;SAL;262;3053;2;1;2016-07-06
402;SAL;267;5180;1;1;2016-07-06
403;SAL;267;5181;1;1;2016-07-06
404;SAL;269;4329;1;1;2016-07-06
405;SAL;270;4330;1;1;2016-07-06
406;SAL;271;4187;6;1;2016-07-07
407;SAL;271;4197;6;1;2016-07-07
408;SAL;271;3364;200;1;2016-07-07
409;SAL;271;3021;6;1;2016-07-07
