id;procedencia;id_at;designacion;ref;SAP;id_prod;medida;us_crea;date_crea;us_modif;date_modif
94;,;1;Tornillo hexagonal DIN933-M16x110-A2-70;DIN:933-M16X110-A2-70;A2V00000201223;1489;Ud;1;2015-05-12;0;0000-00-00
95;,;1;Tornillo hexagonal DIN933-M20x55-A2-70;DIN:933-M20X55-A2-70;A2V00000201229;1490;Ud;1;2015-05-12;0;0000-00-00
96;,;1;Tuerca hexagonal DIN934-M16-A4-70;DIN:934-M16-A4-70;A2V00000201248;4299;Ud;1;2015-05-12;0;0000-00-00
97;,;1;Tuerca hexagonal DIN934-M20-A2-70;DIN934-M20-A2;A2V00000201252;1517;Ud;1;2015-05-12;0;0000-00-00
98;,;1;Perno roscado;DIN:976-BM20X340-A2;A2V00001093745;4300;Ud;1;2015-05-12;0;0000-00-00
99;,;1;Perno roscado DIN976-BM20x400-A2-70;DIN:976-BM20X400-A2-70;A2V00001091849;1399;Ud;1;2015-05-12;0;0000-00-00
100;,;1;Tensor de acero galvanizado, M20 argolla/argolla para arriostramientos;8WL1097-3A;;1454;Ud;1;2015-05-12;0;0000-00-00
101;,;1;Placa bimetálica contra corrosión entre componentes de Cu y Al, 2x85x85;8WL4567-8;;2941;Ud;1;2015-05-12;0;0000-00-00
102;,;1;Conjunto de aislador de campana y grifa de suspensión;CAT-AIS-001;;1331;Ud;1;2015-05-12;0;0000-00-00
103;,;1;Aislador de quintela A75/12;ES2: A/75/12;;4180;Ud;1;2015-05-12;0;0000-00-00
104;,;1;Aislador de seccion de catenaria rigida;CR-AISS-002;;1235;Ud;1;2015-05-12;0;0000-00-00
105;,;1;Carril conductor de aluminio TIPO Metro 734;CR-CAR-734AL;;1311;Ud;1;2015-05-12;0;0000-00-00
106;,;1;Brida de conexión doble para catenaria rígida tipo Sufetra;CR-CON-2.00;;1290;Ud;1;2015-05-12;0;0000-00-00
107;,;1;Conjunto de estribo de puesta a tierra tipo Sufetra;CR-EST-01;;1291;Ud;1;2015-05-12;0;0000-00-00
108;,;1;Arandela plana DIN125-A10.5-A2-70;DIN125-A10.5-A2;;3012;Ud;1;2015-05-12;0;0000-00-00
109;,;1;Arandela plana DIN125-A13-A2-70;DIN125-A13-A2;;2728;Ud;1;2015-05-12;0;0000-00-00
110;,;1;Arandela plana DIN125-A15-A2-70;DIN125-A15-A2;;4181;Ud;1;2015-05-12;0;0000-00-00
111;,;1;Arandela plana DIN125-A19-A2-70;DIN125-A19-A2;;4183;Ud;1;2015-05-12;0;0000-00-00
112;,;1;Arandela plana DIN125-B7-FSt-A2;DIN125-B7-FST-A2;;4185;Ud;1;2015-05-12;0;0000-00-00
113;,;1;Arandela de presión DIN127-B13-FSt-A2;DIN127-A13-FST-A2;;4186;Ud;1;2015-05-12;0;0000-00-00
114;,;1;Arandela de presión DIN127-B12-FSt-A2;DIN127-B12-FST-A2;;4187;Ud;1;2015-05-12;0;0000-00-00
115;,;1;Arandela de presión DIN127-B17-A2-70;DIN127-B17-A2;;4188;Ud;1;2015-05-12;0;0000-00-00
116;,;1;Arandela de presión DIN127-B18-FSt-A2;DIN127-B18-FSt-A2;;1259;Ud;1;2015-05-12;0;0000-00-00
117;,;1;Arandela de presión DIN127-B19-FSt-A2;DIN127-B19-A2;;1260;Ud;1;2015-05-12;0;0000-00-00
118;,;1;Cable de cobre desnudo extraflexible DIN48201-150/37-ECu;DIN48201-150ECu;;4189;Mts;1;2015-05-12;0;0000-00-00
