id_prod;image;us_crea;date_crea
1536;ID=1536, J4211-S004.JPG;2;0000-00-00 00:00:00
1921;ID=1921 .JPG;1;2015-08-26
1930;ID=1930 .JPG;1;2015-08-26
1932;ID=1932.JPG;1;2015-08-26
1934;ID=1934 .JPG;1;2015-08-12
1937;ID=1937, .JPG;1;2015-11-30
1944;ID=1944 .JPG;1;2015-08-26
1945;ID=1945 .JPG;1;2015-08-26
1951;ID=1951, QSE 93-AF631-1E.JPG;2;0000-00-00 00:00:00
1952;ID=1952, .JPG;2;0000-00-00 00:00:00
1953;ID=1953, .JPG;2;0000-00-00 00:00:00
1960;ID=1960 .JPG;1;2015-08-26
1963;ID=1363, 8WL4505-3 .JPG;1;2015-11-25
1970;ID=1970 .JPG;1;2015-08-31
1971;ID=1971, .JPG;1;2015-09-02
1982;ID=1982 .JPG;1;2015-08-26
1983;ID=1983 .JPG;1;2015-08-26
1999;ID=1999, .JPG;1;2015-09-02
2000;ID=2000, .JPG;1;2015-09-02
2001;ID=2001, .JPG;1;2015-09-02
2003;ID=2003, .JPG;1;2015-09-02
2004;ID=2004 .JPG;1;2015-08-31
2005;ID=2005 .JPG;1;2015-08-26
2012;ID=2012.JPG;1;2015-10-29
2016;ID=2016 .JPG;1;2015-08-26
2019;ID=2019 .JPG;1;2015-08-26
2020;ID=2020 .JPG;1;2015-08-26
2021;ID=2021 .JPG;1;2015-08-27
2023;ID=2023 .JPG;1;2015-08-26
2024;ID=2024 .JPG;1;2015-08-26
2025;ID=2025 .JPG;1;2015-08-26
2026;ID=2026 .JPG;1;2015-08-26
2029;ID=2029 .JPG;1;2015-08-31
2030;ID=2030,KR-2.JPG;2;0000-00-00 00:00:00
2302;ID=2302 .JPG;1;2015-08-26
2305;ID=2305 .JPG;1;2015-09-06
2306;ID=2306 .JPG;1;2015-08-12
2307;ID=2307 .JPG;1;2015-09-06
2327;ID=2327 .JPG;1;2015-09-06
2329;ID=2329 .JPG;1;2015-10-29
2331;ID=2331 .JPG;1;2015-09-06
2332;ID=2332 .JPG;1;2015-09-06
2335;ID=2335.JPG;2;0000-00-00 00:00:00
2336;ID=2336 .JPG;1;2015-08-12
2337;ID=2337 .JPG;1;2015-09-17
2338;ID=2338 .JPG;1;2015-08-12
2339;ID=2339, .JPG;1;2015-09-02
2340;ID=2340 .JPG;1;2015-09-06
2341;ID=2341 .JPG;1;2015-08-26
2342;ID=2342 .JPG;1;2015-09-06
2343;ID=2343 .JPG;1;2015-09-06
2344;ID=2344, .JPG;1;2015-09-02
2345;ID=2345.JPG;2;0000-00-00 00:00:00
2346;ID=2346 .JPG;1;2015-09-06
2348;ID=2348 .JPG;1;2015-08-12
2352;ID=2352 .JPG;1;2015-09-06
2353;3GD2032-4BC.JPG;2;0000-00-00 00:00:00
2355;ID=2355, 3NW6001-1 .JPG;2;0000-00-00 00:00:00
2359;ID=2359 .JPG;1;2015-10-29
2361;ID=2361 .JPG;1;2015-08-12
2362;ID=2362 .JPG;1;2015-10-29
2366;ID=2366.JPG;1;2015-08-26
2370;ID=2370.JPG;1;2015-08-26
2372;ID=2372 .JPG;1;2015-10-29
2374;ID=2374 .JPG;1;2015-09-06
2375;ID=2375 .JPG;1;2015-09-06
2381;ID=2381 .JPG;1;2015-09-06
2382;ID=2382 .JPG;1;2015-09-06
2387;ID=2387 .JPG;1;2015-08-12
2390;ID=2390 .JPG;1;2015-09-04
2392;ID=2392 .JPG;1;2015-09-04
